VolcanoNumber,VolcanoName,Country,PrimaryVolcanoType,ActivityEvidence,LastKnownEruption,Region,Subregion,Latitude,Longitude,Elevation,DominantRockType,TectonicSetting,,,Multiple
213020,Nemrut Dagi,Turkey,stratovolcano,Eruption Observed,1650 CE,Mediterranean and Western Asia,Turkey,38.654,42.229,2948,Rhyolite,Intraplate / Continental crust (>25 km),,,false
213030,Tenduruk Dagi,Turkey,shield,Eruption Observed,1855 CE,Mediterranean and Western Asia,Turkey,39.356,43.874,3514,Basalt / Picro-Basalt,Intraplate / Continental crust (>25 km),,,false
213040,Ararat,Turkey,stratovolcano,Eruption Observed,1840 CE,Mediterranean and Western Asia,Turkey,39.7,44.3,5165,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,false
214010,Elbrus,Russia,stratovolcano,Eruption Dated,50 CE,Mediterranean and Western Asia,Western Asia,43.351,42.442,5642,Dacite,Intraplate / Continental crust (>25 km),,,false
214020,Kazbek,Georgia,stratovolcano,Eruption Dated,750 BCE,Mediterranean and Western Asia,Western Asia,42.7,44.5,5050,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,false
214050,Samsari Volcanic Center,Georgia,lava-cone,Evidence Uncertain,Unknown,Mediterranean and Western Asia,Western Asia,41.542,43.7,3290,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,true
214060,Aragats,Armenia,stratovolcano,Evidence Credible,Unknown,Mediterranean and Western Asia,Western Asia,40.53,44.2,4095,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,false
214070,Ghegam Ridge,Armenia,volcanic-field,Eruption Dated,1900 BCE,Mediterranean and Western Asia,Western Asia,40.275,44.75,3597,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,false
214080,Dar-Alages,Armenia,volcanic-field,Eruption Dated,2000 BCE,Mediterranean and Western Asia,Western Asia,39.704,45.551,1637,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,true
214090,Porak,Armenia-Azerbaijan,stratovolcano,Eruption Dated,778 BCE,Mediterranean and Western Asia,Western Asia,40.028,45.74,3029,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,false
214100,Tskhouk-Karckar,Armenia-Azerbaijan,pyroclastic-cone,Eruption Dated,3000 BCE,Mediterranean and Western Asia,Western Asia,39.73,46.02,3000,Andesite / Basaltic Andesite,Intraplate / Continental crust (>25 km),,,true
221010,"Tair, Jebel at",Yemen,stratovolcano,Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.55,41.83,244,Trachybasalt / Tephrite Basanite,Rift zone / Oceanic crust (< 15 km),,,false
221020,Zubair Group,Yemen,shield,Eruption Observed,2013 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,15.05,42.18,191,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km),,,false
221021,Zukur,Yemen,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.02,42.75,624,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km),,,false
221022,Hanish,Yemen,shield,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.72,42.73,422,Basalt / Picro-Basalt,Rift zone / Oceanic crust (< 15 km),,,false
221030,Jalua,Eritrea,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,15.042,39.82,713,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221040,Alid,Eritrea,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.88,39.92,904,Rhyolite,Rift zone / Intermediate crust (15-25 km),,,false
221041,Dallol,Ethiopia,explosion-crater,Eruption Observed,2011 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,14.242,40.3,-48,No Data (checked),Rift zone / Intermediate crust (15-25 km),,,true
221050,Gada Ale,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.975,40.408,287,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221060,Alu-Dalafilla,Ethiopia,fissure-vent,Eruption Observed,2008 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553,578,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,true
221071,Bora Ale,Ethiopia,stratovolcano,Evidence Credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.725,40.6,668,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
221080,Erta Ale,Ethiopia,shield,Eruption Observed,2016 CE,Africa and Red Sea,Africa (northeastern) and Red Sea,13.6,40.67,613,Basalt / Picro-Basalt,Rift zone / Intermediate crust (15-25 km),,,false
